id,age,condition,counterbalance,block,trialinblock,trial,tstart,tend,trialstim,trialintensity,response,RT,accuracy,trialtype,colourfreq,credits
59,20,0,1,Practice,1,NA,5.907728336751461e-06,1.9491616608574986,"[5, 0, 249]",249,a,1.3131243432871997,1,colour,0.5,4
59,20,0,1,Practice,2,NA,2.456365485326387,4.405100611736998,"[82, 0, 172]",172,l,1.4254919522209093,1,colour,0.5,4
59,20,0,1,Practice,3,NA,4.924966956372373,6.4211068785516545,"[4, 0, 250]",250,a,0.9728179788216949,1,colour,0.5,4
59,20,0,1,Practice,4,NA,6.940573470317759,8.47712270799093,"[89, 0, 165]",165,l,1.0131780637893826,1,colour,0.5,4
59,20,0,1,Practice,5,NA,8.976212531561032,10.781132289441302,"[71, 0, 183]",183,a,1.2820223798044026,0,colour,0.5,4
59,20,0,1,Practice,6,NA,11.28882802661974,12.82109537825454,"[80, 0, 174]",174,l,1.0069895725464448,1,colour,0.5,4
59,20,0,1,Practice,7,NA,13.337614431744441,14.821124128997326,"[28, 0, 226]",226,a,0.9600735388230532,1,colour,0.5,4
59,20,0,1,Practice,8,NA,15.33761167479679,16.77313447301276,"[24, 0, 230]",230,a,0.9121677718358114,1,colour,0.5,4
59,20,0,1,Practice,9,NA,17.291737361927517,18.72515308763832,"[29, 0, 225]",225,a,0.9101658561266959,1,colour,0.5,4
59,20,0,1,Practice,10,NA,19.24482014658861,20.57308193400968,"[57, 0, 197]",197,a,0.8049941947683692,0,colour,0.5,4
59,20,0,1,1,1,1,4.545558448997326,6.023986754240468,"[72, 0, 182]",182,l,0.9544884186470881,1,colour,0.5,4.0
59,20,0,1,1,2,2,6.5266940467990935,8.048020769841969,"[83, 0, 171]",171,l,0.998089850298129,1,colour,0.5,4.0
59,20,0,1,1,3,3,8.557826730189845,9.767951468820684,"[45, 0, 209]",209,a,0.6840202782768756,1,colour,0.5,4.0
59,20,0,1,1,4,4,10.27933989954181,11.735962171922438,"[80, 0, 174]",174,l,0.9332140769110993,1,colour,0.5,4.0
59,20,0,1,1,5,5,12.248132385662757,13.57597354624886,"[11, 0, 243]",243,a,0.8045117342844605,1,colour,0.5,4.0
59,20,0,1,1,6,6,14.091825031908229,15.488042856683023,"[33, 0, 221]",221,a,0.8726560296490788,1,colour,0.5,4.0
59,20,0,1,1,7,7,15.998035893542692,17.311943595064804,"[75, 0, 179]",179,l,0.7909969327738509,1,colour,0.5,4.0
59,20,0,1,1,8,8,17.8262035518419,19.48791249387432,"[65, 0, 189]",189,l,1.1383035035105422,1,colour,0.5,4.0
59,20,0,1,1,9,9,19.99818122247234,21.303968621534295,"[36, 0, 218]",218,a,0.7829105010023341,1,colour,0.5,4.0
59,20,0,1,1,10,10,21.81064469332341,23.09591826610267,"[42, 0, 212]",212,a,0.762587295845151,1,colour,0.5,4.0
59,20,0,1,1,11,11,23.607541428646073,25.207940472639166,"[20, 0, 234]",234,a,1.0777706622611731,1,colour,0.5,4.0
59,20,0,1,1,12,12,25.719658158021048,27.687935494468547,"[53, 0, 201]",201,a,1.4571799574187025,0,colour,0.5,4.0
59,20,0,1,1,13,13,28.2071787759196,29.439913385547698,"[59, 0, 195]",195,a,0.7098069054773077,0,colour,0.5,4.0
59,20,0,1,1,14,14,29.957153569790535,31.231913836090825,"[91, 0, 163]",163,l,0.7517124393489212,1,colour,0.5,4.0
59,20,0,1,1,15,15,31.73861629550811,33.07988206704613,"[89, 0, 165]",165,l,0.8179678528103977,1,colour,0.5,4.0
59,20,0,1,1,16,16,33.59787567728199,34.888022691826336,"[63, 0, 191]",191,a,0.7668888742337003,0,colour,0.5,4.0
59,20,0,1,1,17,17,35.394782652612776,37.103946014889516,"[67, 0, 187]",187,a,1.1865381313255057,0,colour,0.5,4.0
59,20,0,1,1,18,18,37.61345304653514,38.767925081192516,"[84, 0, 170]",170,l,0.6306723569286987,1,colour,0.5,4.0
59,20,0,1,1,19,19,39.286493311752565,42.43187815370038,"[68, 0, 186]",186,l,2.6221901106182486,1,colour,0.5,4.0
59,20,0,1,1,20,20,42.94262225355487,44.10386527655646,"[81, 0, 173]",173,a,0.6379376212134957,0,colour,0.5,4.0
59,20,0,1,1,21,21,44.611138417734765,45.79188505385537,"[19, 0, 235]",235,a,0.6574329634895548,1,colour,0.5,4.0
59,20,0,1,1,22,22,46.29859027010389,47.42389097099658,"[97, 0, 157]",157,l,0.61114629462827,1,colour,0.5,4.0
59,20,0,1,1,23,23,47.93008576380089,49.06383405253291,"[1, 0, 253]",253,a,0.6104444622760639,1,colour,0.5,4.0
59,20,0,1,1,24,24,49.57065072702244,50.7518825805746,"[57, 0, 197]",197,a,0.6579177872044966,0,colour,0.5,4.0
59,20,0,1,1,25,25,51.25807343481574,52.17589761281852,"[26, 0, 228]",228,a,0.3945943944854662,1,colour,0.5,4.0
59,20,0,1,1,26,26,52.69568361307029,53.81586432503536,"[21, 0, 233]",233,a,0.597171087982133,1,colour,0.5,4.0
59,20,0,1,1,27,27,54.33627693308517,55.25586987042334,"[17, 0, 237]",237,a,0.39618868031539023,1,colour,0.5,4.0
59,20,0,1,1,28,28,55.773822520743124,56.927821940975264,"[2, 0, 252]",252,a,0.6306762953754514,1,colour,0.5,4.0
59,20,0,1,1,29,29,57.43974639521912,58.599825999117456,"[49, 0, 205]",205,a,0.6367048854008317,1,colour,0.5,4.0
59,20,0,1,1,30,30,59.111676804255694,61.18384186644107,"[12, 0, 242]",242,a,1.5488175188656896,1,colour,0.5,4.0
59,20,0,1,1,31,31,61.689743638271466,63.47985481284559,"[66, 0, 188]",188,l,1.2670034831389785,1,colour,0.5,4.0
59,20,0,1,1,32,32,63.98622841143515,65.2399797878461,"[31, 0, 223]",223,a,0.7303601163439453,1,colour,0.5,4.0
59,20,0,1,1,33,33,65.75189715286251,66.887834039866,"[43, 0, 211]",211,a,0.6111911929911003,1,colour,0.5,4.0
59,20,0,1,1,34,34,67.39398984191939,68.72779500193428,"[92, 0, 162]",162,l,0.8104564351961017,1,colour,0.5,4.0
59,20,0,1,1,35,35,69.23787389707286,70.50382896407973,"[85, 0, 169]",169,l,0.7426307606510818,1,colour,0.5,4.0
59,20,0,1,1,36,36,71.0191101616947,72.2158122586552,"[25, 0, 229]",229,a,0.6733825167175382,1,colour,0.5,4.0
59,20,0,1,1,37,37,72.70987779775169,74.04782227182295,"[23, 0, 231]",231,a,0.8211832058150321,1,colour,0.5,4.0
59,20,0,1,1,38,38,74.56293844827451,75.81577255914453,"[71, 0, 183]",183,l,0.7296043273527175,1,colour,0.5,4.0
59,20,0,1,1,39,39,76.32844728860073,77.54399055091199,"[56, 0, 198]",198,a,0.6921776022063568,0,colour,0.5,4.0
59,20,0,1,1,40,40,78.06288015923928,79.15981651539914,"[9, 0, 245]",245,a,0.573898769216612,1,colour,0.5,4.0
59,20,0,1,1,41,41,79.6729240808636,80.75977720960509,"[94, 0, 160]",160,l,0.563543000840582,1,colour,0.5,4.0
59,20,0,1,1,42,42,81.26669234537985,82.37583002902102,"[13, 0, 241]",241,a,0.5861607487313449,1,colour,0.5,4.0
59,20,0,1,1,43,43,82.89167639461812,84.24784724158235,"[73, 0, 181]",181,l,0.8331281398423016,1,colour,0.5,4.0
59,20,0,1,1,44,44,84.76825039740652,85.83981090702582,"[64, 0, 190]",190,l,0.5481976063456386,1,colour,0.5,4.0
59,20,0,1,1,45,45,86.34641136042774,87.79183661099523,"[86, 0, 168]",168,l,0.9220434427261353,1,colour,0.5,4.0
59,20,0,1,1,46,46,88.28721680562012,89.45580583112314,"[48, 0, 206]",206,a,0.6451650762464851,1,colour,0.5,4.0
59,20,0,1,1,47,47,89.97692460380495,91.16779936582316,"[16, 0, 238]",238,a,0.6674870464485139,1,colour,0.5,4.0
59,20,0,1,1,48,48,91.68010230525397,92.78384194523096,"[28, 0, 226]",226,a,0.5807607359020039,1,colour,0.5,4.0
59,20,0,1,1,49,49,93.30516866827384,94.36782788019627,"[14, 0, 240]",240,a,0.5396901540225372,1,colour,0.5,4.0
59,20,0,1,1,50,50,94.88324652984738,96.15974286629353,"[34, 0, 220]",220,a,0.7532972728367895,1,colour,0.5,4.0
59,20,0,1,2,1,51,116.42093082971405,117.80774520419072,"[51, 0, 203]",203,a,0.8628555831965059,0,colour,0.5,4.0
59,20,0,1,2,2,52,118.32801839103922,119.48768918367568,"[19, 0, 235]",235,a,0.636458732187748,1,colour,0.5,4.0
59,20,0,1,2,3,53,119.9998696371913,121.30371852987446,"[26, 0, 228]",228,a,0.7807372626848519,1,colour,0.5,4.0
59,20,0,1,2,4,54,121.81229805585463,122.84777760971338,"[98, 0, 156]",156,l,0.5126802432350814,1,colour,0.5,4.0
59,20,0,1,2,5,55,123.35910066217184,124.5677662040107,"[76, 0, 178]",178,l,0.6852282017935067,1,colour,0.5,4.0
59,20,0,1,2,6,56,125.07796207116917,126.42373146372847,"[16, 0, 238]",238,a,0.8224943168461323,1,colour,0.5,4.0
59,20,0,1,2,7,57,126.93729037581943,128.26374677638523,"[23, 0, 231]",231,a,0.8031348510412499,1,colour,0.5,4.0
59,20,0,1,2,8,58,128.7810755757382,130.02368625020608,"[1, 0, 253]",253,a,0.7191875128773972,1,colour,0.5,4.0
59,20,0,1,2,9,59,130.52057447854895,131.64767977863085,"[81, 0, 173]",173,l,0.6038191966945305,1,colour,0.5,4.0
59,20,0,1,2,10,60,132.15489541832358,133.35972372547258,"[10, 0, 244]",244,a,0.6814693423220888,1,colour,0.5,4.0
59,20,0,1,2,11,61,133.8737075966783,135.0076984941261,"[86, 0, 168]",168,l,0.6106977048330009,1,colour,0.5,4.0
59,20,0,1,2,12,62,135.51436708273832,137.91167704062536,"[67, 0, 187]",187,l,1.873020730447024,1,colour,0.5,4.0
59,20,0,1,2,13,63,138.4092155074468,139.2638231824385,"[79, 0, 175]",175,l,0.33128061168827116,1,colour,0.5,4.0
59,20,0,1,2,14,64,139.78423263970762,140.92766715981998,"[57, 0, 197]",197,a,0.6202854748116806,0,colour,0.5,4.0
59,20,0,1,2,15,65,141.44226661126595,142.31971888896078,"[5, 0, 249]",249,a,0.354636819451116,1,colour,0.5,4.0
59,20,0,1,2,16,66,142.83273035625461,143.9198320013238,"[9, 0, 245]",245,a,0.5639297568704933,1,colour,0.5,4.0
59,20,0,1,2,17,67,144.42641748860478,145.71967391192447,"[73, 0, 181]",181,l,0.7699313291814178,1,colour,0.5,4.0
59,20,0,1,2,18,68,146.23904952523299,147.3916838776786,"[31, 0, 223]",223,a,0.6268705681432039,1,colour,0.5,4.0
59,20,0,1,2,19,69,147.8977171939332,149.04766985366587,"[84, 0, 170]",170,l,0.6271407461026683,1,colour,0.5,4.0
59,20,0,1,2,20,70,149.55387449252885,150.43169974186458,"[94, 0, 160]",160,l,0.3544564383337274,1,colour,0.5,4.0
59,20,0,1,2,21,71,150.94461511075497,152.231639325968,"[65, 0, 189]",189,a,0.763713299529627,0,colour,0.5,4.0
59,20,0,1,2,22,72,152.74139763100538,154.7116012647748,"[96, 0, 158]",158,l,1.446828521322459,1,colour,0.5,4.0
59,20,0,1,2,23,73,155.22582420008257,156.27960889588576,"[39, 0, 215]",215,a,0.530799490166828,1,colour,0.5,4.0
59,20,0,1,2,24,74,156.78833138779737,157.9679362664465,"[54, 0, 200]",200,a,0.6563286214368418,0,colour,0.5,4.0
59,20,0,1,2,25,75,158.47572495101485,159.62364261224866,"[69, 0, 185]",185,a,0.6244921365287155,0,colour,0.5,4.0
59,20,0,1,2,26,76,160.13208389852662,161.03176086663734,"[53, 0, 201]",201,a,0.3764475784264505,0,colour,0.5,4.0
59,20,0,1,2,27,77,161.53812737588305,162.50360171531793,"[99, 0, 155]",155,l,0.4419420827180147,1,colour,0.5,4.0
59,20,0,1,2,28,78,163.02266973548103,163.8236660065595,"[45, 0, 209]",209,a,0.27812685596290976,1,colour,0.5,4.0
59,20,0,1,2,29,79,164.33525963069405,165.6236587598687,"[21, 0, 233]",233,a,0.765153591753915,1,colour,0.5,4.0
59,20,0,1,2,30,80,166.12042528996244,167.40764209546614,"[15, 0, 239]",239,a,0.7600371474400163,1,colour,0.5,4.0
59,20,0,1,2,31,81,167.92114547546953,168.74358859239146,"[18, 0, 236]",236,a,0.2999990547541529,1,colour,0.5,4.0
