id,age,condition,counterbalance,block,trialinblock,trial,tstart,tend,trialstim,trialintensity,response,RT,accuracy,trialtype,colourfreq,credits
68,21,1,1,Practice,1,NA,5.907611921429634e-06,1.2694094839971513,"[63, 0, 191]",191,a,0.7138591797556728,0,colour,0.5,4
68,21,1,1,Practice,2,NA,1.7820664905011654,3.1654331432655454,"[94, 0, 160]",160,l,0.8600108388345689,1,colour,0.5,4
68,21,1,1,Practice,3,NA,3.6725719831883907,4.805392766138539,"[9, 0, 245]",245,a,0.60933224321343,1,colour,0.5,4
68,21,1,1,Practice,4,NA,5.313254312146455,6.941400939133018,"[78, 0, 176]",176,l,1.1047167701181024,1,colour,0.5,4
68,21,1,1,Practice,5,NA,7.454195003723726,8.853353671496734,"[69, 0, 185]",185,l,0.8764712091069669,1,colour,0.5,4
68,21,1,1,Practice,6,NA,9.36004904168658,10.741374000208452,"[35, 0, 219]",219,a,0.8579762338194996,1,colour,0.5,4
68,21,1,1,Practice,7,NA,11.250817229039967,12.469374195439741,"[34, 0, 220]",220,a,0.695153103210032,1,colour,0.5,4
68,21,1,1,Practice,8,NA,12.985227650497109,14.221381624927744,"[42, 0, 212]",212,a,0.7128387265838683,1,colour,0.5,4
68,21,1,1,Practice,9,NA,14.735189841361716,16.30135663948022,"[53, 0, 201]",201,a,1.0430039684288204,0,colour,0.5,4
68,21,1,1,Practice,10,NA,16.81333268736489,19.397360763745382,"[10, 0, 244]",244,a,2.0606033394578844,1,colour,0.5,4
68,21,1,1,1,1,1,4.839820359135047,6.1919787102378905,"[18, 0, 236]",236,a,0.8283259843010455,1,colour,0.5,4.0
68,21,1,1,1,2,2,6.699907997623086,9.959941994398832,"[76, 0, 178]",178,l,2.736556878313422,1,colour,0.5,4.0
68,21,1,1,1,3,3,10.481180102098733,11.7840187815018,"[87, 0, 167]",167,l,0.7794285146519542,1,colour,0.5,4.0
68,21,1,1,1,4,4,12.293752274243161,13.775931562297046,"[83, 0, 171]",171,l,0.9589250860735774,1,colour,0.5,4.0
68,21,1,1,1,5,5,14.293686108430848,16.200008822139353,"[54, 0, 200]",200,a,1.3829550843220204,0,colour,0.5,4.0
68,21,1,1,1,6,6,16.715468037873507,18.639927721349522,"[43, 0, 211]",211,a,1.401051094289869,1,colour,0.5,4.0
68,21,1,1,1,7,7,19.152994327014312,20.759935141541064,"[35, 0, 219]",219,a,1.0834424286149442,1,colour,0.5,4.0
68,21,1,1,1,8,8,21.27797680092044,23.119913684669882,"[3, 0, 251]",251,a,1.3185286882799119,1,colour,0.5,4.0
68,21,1,1,1,9,9,23.63743428676389,25.727910792455077,"[71, 0, 183]",183,l,1.567084064008668,1,colour,0.5,4.0
68,21,1,1,1,10,10,26.24675432080403,27.351894868304953,"[68, 0, 186]",186,l,0.581899736309424,1,colour,0.5,4.0
68,21,1,1,1,11,11,27.871743883937597,29.367937369039282,"[58, 0, 196]",196,a,0.9728498803451657,0,colour,0.5,4.0
68,21,1,1,1,12,12,29.887339764041826,31.43990944698453,"[36, 0, 218]",218,a,1.0292233212385327,1,colour,0.5,4.0
68,21,1,1,1,13,13,31.94976503169164,33.47185778385028,"[42, 0, 212]",212,a,0.9985691600013524,1,colour,0.5,4.0
68,21,1,1,1,14,14,33.981125357793644,35.49592724558897,"[78, 0, 176]",176,l,0.9915212984196842,1,colour,0.5,4.0
68,21,1,1,1,15,15,36.01231514848769,37.91990840714425,"[28, 0, 226]",226,a,1.384877443080768,1,colour,0.5,4.0
68,21,1,1,1,16,16,38.434178210096434,40.26389919430949,"[48, 0, 206]",206,a,1.306266708765179,1,colour,0.5,4.0
68,21,1,1,1,17,17,40.77782556414604,42.47191331605427,"[70, 0, 184]",184,l,1.1717323048505932,1,colour,0.5,4.0
68,21,1,1,1,18,18,42.981063524028286,44.83990346058272,"[55, 0, 199]",199,a,1.3354112613014877,0,colour,0.5,4.0
68,21,1,1,1,19,19,45.35610231780447,47.14404931245372,"[30, 0, 224]",224,a,1.2647731371689588,1,colour,0.5,4.0
68,21,1,1,1,20,20,47.652826548786834,49.72784895868972,"[53, 0, 201]",201,a,1.551707949489355,0,colour,0.5,4.0
68,21,1,1,1,21,21,50.246739354683086,52.127889052033424,"[69, 0, 185]",185,l,1.3579683569259942,1,colour,0.5,4.0
68,21,1,1,1,22,22,52.637253117980435,54.487876653904095,"[5, 0, 249]",249,a,1.3271598082501441,1,colour,0.5,4.0
68,21,1,1,1,23,23,54.99650265369564,56.74385561933741,"[96, 0, 158]",158,l,1.2240794652607292,1,colour,0.5,4.0
68,21,1,1,1,24,24,57.2622627671808,59.07188228121959,"[65, 0, 189]",189,l,1.2864696811884642,1,colour,0.5,4.0
68,21,1,1,1,25,25,59.59023389662616,60.727987986058,"[26, 0, 228]",228,a,0.6142391618341208,1,colour,0.5,4.0
68,21,1,1,1,26,26,61.246566456509754,62.16789664537646,"[67, 0, 187]",187,l,0.3979629531968385,1,colour,0.5,4.0
68,21,1,1,1,27,27,62.684081324143335,63.45587987382896,"[17, 0, 237]",237,a,0.2483170989435166,1,colour,0.5,4.0
68,21,1,1,1,28,28,63.9652833242435,64.67991916718893,"[8, 0, 246]",246,a,0.19120598584413528,1,colour,0.5,4.0
68,21,1,1,1,29,29,65.19970398582518,65.79994115931913,"[24, 0, 230]",230,a,0.07692822720855474,1,colour,0.5,4.0
68,21,1,1,1,30,30,66.30904961959459,67.71185450721532,"[98, 0, 156]",156,l,0.8798760017380118,1,colour,0.5,4.0
68,21,1,1,1,31,31,68.23091504420154,69.37582845357247,"[22, 0, 232]",232,a,0.6219222960062325,1,colour,0.5,4.0
68,21,1,1,1,32,32,69.88717671204358,71.71982002840377,"[57, 0, 197]",197,l,1.3091984933707863,1,colour,0.5,4.0
68,21,1,1,1,33,33,72.23094103811309,73.62378991022706,"[90, 0, 164]",164,l,0.8694556427653879,1,colour,0.5,4.0
68,21,1,1,1,34,34,74.13711212133057,75.34383600577712,"[79, 0, 175]",175,l,0.6832337691448629,1,colour,0.5,4.0
68,21,1,1,1,35,35,75.85595659492537,76.84777288348414,"[27, 0, 227]",227,a,0.46935017104260623,1,colour,0.5,4.0
68,21,1,1,1,36,36,77.35594399203546,78.59182857628912,"[34, 0, 220]",220,a,0.712472056504339,1,colour,0.5,4.0
68,21,1,1,1,37,37,79.10590697056614,81.05578267294914,"[41, 0, 213]",213,a,1.426854657009244,1,colour,0.5,4.0
68,21,1,1,1,38,38,81.57460138900205,82.99980977270752,"[84, 0, 170]",170,l,0.9017997942864895,1,colour,0.5,4.0
68,21,1,1,1,39,39,83.51209538290277,84.51982735376805,"[46, 0, 208]",208,a,0.48487161425873637,1,colour,0.5,4.0
68,21,1,1,1,40,40,85.02768299216405,86.2158091077581,"[50, 0, 204]",204,a,0.6647817229386419,1,colour,0.5,4.0
68,21,1,1,1,41,41,86.73079058923759,88.24779052776285,"[44, 0, 210]",210,a,0.993518881732598,1,colour,0.5,4.0
68,21,1,1,1,42,42,88.76203630608507,89.9118081908673,"[2, 0, 252]",252,a,0.6264747537206858,1,colour,0.5,4.0
68,21,1,1,1,43,43,90.41823653387837,91.75995483365841,"[6, 0, 248]",248,a,0.8190745580941439,1,colour,0.5,4.0
68,21,1,1,1,44,44,92.27765424153768,93.82377116312273,"[72, 0, 182]",182,l,1.0227079384494573,1,colour,0.5,4.0
68,21,1,1,1,45,45,94.3400680879131,95.43176236306317,"[16, 0, 238]",238,a,0.5687197034712881,1,colour,0.5,4.0
68,21,1,1,1,46,46,95.94947988772765,97.03981263982132,"[51, 0, 203]",203,a,0.5668524829670787,0,colour,0.5,4.0
