id,age,condition,counterbalance,block,trialinblock,trial,tstart,tend,trialstim,trialintensity,response,RT,accuracy,trialtype,colourfreq,credits
35,21,1,2,Practice,1,NA,6.301503162831068e-06,0.88028446646058,"[16, 0, 238]",238,a,0.35599347634706646,1,colour,0.5,4
35,21,1,2,Practice,2,NA,1.3915502099262085,2.1923665721551515,"[38, 0, 216]",216,a,0.27775495665264316,1,colour,0.5,4
35,21,1,2,Practice,3,NA,2.704042702273,4.872227182466304,"[25, 0, 229]",229,a,1.644813906197669,1,colour,0.5,4
35,21,1,2,Practice,4,NA,5.393107473646523,6.88028446646058,"[56, 0, 198]",198,a,0.9639450522954576,0,colour,0.5,4
35,21,1,2,Practice,5,NA,7.393693121382967,8.640310286951717,"[32, 0, 222]",222,a,0.723748350283131,1,colour,0.5,4
35,21,1,2,Practice,6,NA,9.159677031217143,10.3522677012661,"[93, 0, 161]",161,l,0.6693504587747157,1,colour,0.5,4
35,21,1,2,Practice,7,NA,10.86298048615572,11.53628042404307,"[67, 0, 187]",187,a,0.14998489603749476,0,colour,0.5,4
35,21,1,2,Practice,8,NA,12.050506701460108,12.60829107047175,"[98, 0, 156]",156,l,0.03483717850758694,1,colour,0.5,4
35,21,1,2,Practice,9,NA,13.128675116749946,14.560234873497393,"[34, 0, 220]",220,a,0.9088445410598069,1,colour,0.5,4
35,21,1,2,Practice,10,NA,15.066408986895112,15.696319792798022,"[65, 0, 189]",189,a,0.10661821320536546,0,colour,0.5,4
35,21,1,2,1,1,1,4.513316495140316,6.3679482518928126,"[29, 0, 225]",225,a,1.3306385135801975,1,colour,0.5,4.0
35,21,1,2,1,2,2,6.889305095683085,7.44793583790306,"[90, 0, 164]",164,l,0.03528694968554191,1,colour,0.5,4.0
35,21,1,2,1,3,3,7.9675168339163065,9.83194903327967,"[44, 0, 210]",210,a,1.3409123580495361,1,colour,0.5,4.0
35,21,1,2,1,4,4,10.342683479655534,11.535918086505262,"[98, 0, 156]",156,l,0.6698628512967844,1,colour,0.5,4.0
35,21,1,2,1,5,5,12.045938885450596,12.599923830333864,"[64, 0, 190]",190,a,0.029685684014111757,0,colour,0.5,4.0
35,21,1,2,1,6,6,13.109564568731003,13.751939391950145,"[34, 0, 220]",220,a,0.11894320321152918,1,colour,0.5,4.0
35,21,1,2,1,7,7,14.265901399281574,14.89596186633571,"[5, 0, 249]",249,a,0.10681434810976498,1,colour,0.5,4.0
35,21,1,2,1,8,8,15.40847924965783,16.98391339502996,"[36, 0, 218]",218,a,1.0521411588415504,1,colour,0.5,4.0
35,21,1,2,1,9,9,17.50234436322353,18.10389950015815,"[46, 0, 208]",208,a,0.07825860581942834,1,colour,0.5,4.0
35,21,1,2,1,10,10,18.611827406013617,19.143865330144763,"[2, 0, 252]",252,a,0.008947374008130282,1,colour,0.5,4.0
35,21,1,2,1,11,11,19.658776898140786,20.74388525870745,"[69, 0, 185]",185,l,0.5618488508916926,1,colour,0.5,4.0
35,21,1,2,1,12,12,21.25261700252304,21.84791000164114,"[94, 0, 160]",160,l,0.0707318312197458,1,colour,0.5,4.0
35,21,1,2,1,13,13,22.363333568326198,27.623914907395374,"[60, 0, 194]",194,a,4.737690074602142,0,colour,0.5,4.0
35,21,1,2,1,14,14,28.130816452787258,30.63191390229622,"[66, 0, 188]",188,a,1.977912376547465,0,colour,0.5,4.0
35,21,1,2,1,15,15,31.142480570619227,31.767914932599524,"[8, 0, 246]",246,a,0.10211813860223629,1,colour,0.5,4.0
35,21,1,2,1,16,16,32.2727354002418,32.91991395270452,"[93, 0, 161]",161,l,0.1238757198152598,1,colour,0.5,4.0
35,21,1,2,1,17,17,33.431152914708946,34.263846315298,"[79, 0, 175]",175,l,0.3093756018206477,1,colour,0.5,4.0
35,21,1,2,1,18,18,34.7783140198153,35.48786149566877,"[96, 0, 158]",158,l,0.18624464320600964,1,colour,0.5,4.0
35,21,1,2,1,19,19,35.99722339172149,36.55998714489397,"[21, 0, 233]",233,a,0.03951487730955705,1,colour,0.5,4.0
35,21,1,2,1,20,20,37.07540125926607,37.86386112388573,"[76, 0, 178]",178,a,0.27028174500446767,0,colour,0.5,4.0
35,21,1,2,1,21,21,38.38261189433979,38.92782630168949,"[97, 0, 157]",157,l,0.02180602418957278,1,colour,0.5,4.0
