id,age,condition,counterbalance,block,trialinblock,trial,tstart,tend,trialstim,trialintensity,response,RT,accuracy,trialtype,colourfreq,credits
62,21,0,1,Practice,1,NA,5.907611921429634e-06,1.7877492844127119,"[98, 0, 156]",156,l,1.2320627097506076,1,colour,0.5,4
62,21,0,1,Practice,2,NA,2.2977387765422463,2.8437174586579204,"[57, 0, 197]",197,a,0.02336487267166376,0,colour,0.5,4
62,21,0,1,Practice,3,NA,3.360095909330994,4.091698607429862,"[20, 0, 234]",234,a,0.20823191804811358,1,colour,0.5,4
62,21,0,1,Practice,4,NA,4.61011954001151,7.307684158207849,"[52, 0, 202]",202,a,2.174297025660053,0,colour,0.5,4
62,21,0,1,Practice,5,NA,7.829200320877135,9.803711046697572,"[31, 0, 223]",223,a,1.451476683607325,1,colour,0.5,4
62,21,0,1,Practice,6,NA,10.31322083529085,11.939688499784097,"[58, 0, 196]",196,a,1.1030413520056754,0,colour,0.5,4
62,21,0,1,Practice,7,NA,12.453829515492544,14.107681637629867,"[45, 0, 209]",209,a,1.1309098456986248,1,colour,0.5,4
62,21,0,1,Practice,8,NA,14.625663038576022,16.099696424091235,"[40, 0, 214]",214,a,0.9506259777117521,1,colour,0.5,4
62,21,0,1,Practice,9,NA,16.610065977089107,17.99569093855098,"[26, 0, 228]",228,a,0.8629453799221665,1,colour,0.5,4
62,21,0,1,Practice,10,NA,18.516290229279548,20.027689687674865,"[91, 0, 163]",163,l,0.9880877549294382,1,colour,0.5,4
62,21,0,1,1,1,1,4.3671603123657405,5.736002344172448,"[23, 0, 231]",231,a,0.8446811980102211,1,colour,0.5,4.0
62,21,0,1,1,2,2,6.242853283183649,7.615924819605425,"[72, 0, 182]",182,l,0.8496810640208423,1,colour,0.5,4.0
62,21,0,1,1,3,3,8.1335174953565,9.359903318807483,"[80, 0, 174]",174,l,0.703023707959801,1,colour,0.5,4.0
62,21,0,1,1,4,4,9.867849541595206,11.103925928706303,"[12, 0, 242]",242,a,0.7126347147859633,1,colour,0.5,4.0
62,21,0,1,1,5,5,11.617959818337113,13.007917472161353,"[46, 0, 208]",208,a,0.8666211382951587,1,colour,0.5,4.0
62,21,0,1,1,6,6,13.524149412289262,14.807923222193494,"[56, 0, 198]",198,a,0.7604298111982644,0,colour,0.5,4.0
62,21,0,1,1,7,7,15.321041421499103,16.679914440959692,"[43, 0, 211]",211,a,0.8355577716138214,1,colour,0.5,4.0
62,21,0,1,1,8,8,17.195962455589324,18.59995163581334,"[98, 0, 156]",156,l,0.8806971691083163,1,colour,0.5,4.0
62,21,0,1,1,9,9,19.117833000142127,20.49586698738858,"[47, 0, 207]",207,a,0.8546817179303616,1,colour,0.5,4.0
62,21,0,1,1,10,10,21.008360154228285,22.39196311403066,"[51, 0, 203]",203,a,0.8608359445352107,0,colour,0.5,4.0
62,21,0,1,1,11,11,22.8990964400582,24.18390370020643,"[86, 0, 168]",168,l,0.7614443567581475,1,colour,0.5,4.0
62,21,0,1,1,12,12,24.696090061450377,26.26395315141417,"[89, 0, 165]",165,l,1.0445285437162966,1,colour,0.5,4.0
62,21,0,1,1,13,13,26.77406709874049,28.14390989136882,"[64, 0, 190]",190,a,0.8466346706263721,0,colour,0.5,4.0
62,21,0,1,1,14,14,28.664587951265275,29.967911060201004,"[58, 0, 196]",196,a,0.7799349997658283,0,colour,0.5,4.0
62,21,0,1,1,15,15,30.477123495656997,31.735910184448585,"[78, 0, 176]",176,l,0.7361555499956012,1,colour,0.5,4.0
62,21,0,1,1,16,16,32.24281783704646,33.49590479652397,"[0, 0, 254]",254,a,0.729697274742648,1,colour,0.5,4.0
62,21,0,1,1,17,17,34.00841332320124,35.327888815896586,"[71, 0, 183]",183,l,0.7961165278684348,1,colour,0.5,4.0
62,21,0,1,1,18,18,35.836478975834325,37.32789787440561,"[67, 0, 187]",187,l,0.9679654110223055,1,colour,0.5,4.0
62,21,0,1,1,19,19,37.836494729621336,39.255875778151676,"[20, 0, 234]",234,a,0.8959748223423958,1,colour,0.5,4.0
62,21,0,1,1,20,20,39.77411120920442,41.15198175073601,"[37, 0, 217]",217,a,0.8546880192589015,1,colour,0.5,4.0
62,21,0,1,1,21,21,41.66462260950357,42.959931360557675,"[68, 0, 186]",186,l,0.7719907460268587,1,colour,0.5,4.0
