id,age,condition,counterbalance,block,trialinblock,trial,tstart,tend,trialstim,trialintensity,response,RT,trialtype,colourfreq
77,19,1,1,Practice,1,NA,6.3014449551701546e-06,0.83188568695914,"[23, 0, 231]",231,a,0.22368006478063762,colour,0.5
77,19,1,1,Practice,2,NA,2.841039847698994,4.127910521347076,"[39, 0, 215]",215,a,0.7704528125468642,colour,0.5
77,19,1,1,Practice,3,NA,6.136809469899163,7.271895863930695,"[90, 0, 164]",164,l,0.6183896900620311,colour,0.5
77,19,1,1,Practice,4,NA,9.281307206023484,10.27185726701282,"[17, 0, 237]",237,a,0.47364225552883,colour,0.5
77,19,1,1,Practice,5,NA,12.281045298557729,13.255867516505532,"[89, 0, 165]",165,l,0.4559762967983261,colour,0.5
77,19,1,1,Practice,6,NA,15.265346600092016,16.279868880752474,"[82, 0, 172]",172,l,0.4981103272875771,colour,0.5
77,19,1,1,Practice,7,NA,18.28834877733607,19.527824426535517,"[20, 0, 234]",234,a,0.723072360502556,colour,0.5
77,19,1,1,Practice,8,NA,21.536811990546994,22.71184972091578,"[65, 0, 189]",189,l,0.6588979245861992,colour,0.5
77,19,1,1,Practice,9,NA,24.720861309440807,25.783837666152976,"[8, 0, 246]",246,a,0.5463336096145213,colour,0.5
77,19,1,1,Practice,10,NA,27.793126522214152,28.719816436292604,"[86, 0, 168]",168,l,0.41067377594299614,colour,0.5
77,19,1,1,1,1,1,6.391957430052571,7.415998572716489,"[29, 0, 225]",225,a,0.5073125371709466,colour,0.5
77,19,1,1,1,2,2,9.424756130669266,10.479959150310606,"[25, 0, 229]",229,a,0.538460235693492,colour,0.5
77,19,1,1,1,3,3,12.489057384897023,13.624207581975497,"[4, 0, 250]",250,a,0.6188816035864875,colour,0.5
77,19,1,1,1,4,4,15.632901730714366,16.752083444967866,"[94, 0, 160]",160,l,0.6025822901865467,colour,0.5
77,19,1,1,1,5,5,18.76105761807412,23.767992457025684,"[51, 0, 203]",203,a,4.490314541035332,colour,0.5
77,19,1,1,1,6,6,25.777365989983082,27.847968779038638,"[52, 0, 202]",202,a,1.553573285229504,colour,0.5
77,19,1,1,1,7,7,29.856640872429125,31.007933632237837,"[34, 0, 220]",220,a,0.632992709055543,colour,0.5
77,19,1,1,1,8,8,33.01651120255701,34.00799467833713,"[8, 0, 246]",246,a,0.4747824395308271,colour,0.5
77,19,1,1,1,9,9,36.016021652147174,36.99995352618862,"[67, 0, 187]",187,l,0.4670276133110747,colour,0.5
77,19,1,1,1,10,10,39.008076204452664,40.10391112638172,"[23, 0, 231]",231,a,0.5782343415776268,colour,0.5
77,19,1,1,1,11,11,42.11277541646268,43.28795690066181,"[53, 0, 201]",201,l,0.6581381957512349,colour,0.5
77,19,1,1,1,12,12,45.29696770152077,46.12792942603119,"[15, 0, 239]",239,a,0.3146828910103068,colour,0.5
77,19,1,1,1,13,13,48.13701072521508,49.143964468850754,"[46, 0, 208]",208,l,0.4905374579830095,colour,0.5
77,19,1,1,1,14,14,51.15316707256716,52.47995481803082,"[24, 0, 230]",230,a,0.810688505647704,colour,0.5
77,19,1,1,1,15,15,54.489173963316716,55.42397040803917,"[62, 0, 192]",192,l,0.41849831282161176,colour,0.5
77,19,1,1,1,16,16,57.432030858588405,59.31993167567998,"[39, 0, 215]",215,l,1.3716597928432748,colour,0.5
77,19,1,1,1,17,17,61.32902242720593,62.328020876972005,"[2, 0, 252]",252,a,0.4818480353569612,colour,0.5
77,19,1,1,1,18,18,64.33665319194552,65.1919278127607,"[90, 0, 164]",164,l,0.33843888924457133,colour,0.5
77,19,1,1,1,19,19,67.20063220150769,68.06398775300477,"[20, 0, 234]",234,a,0.3467836966738105,colour,0.5
77,19,1,1,1,20,20,70.07296744000632,72.27993110846728,"[48, 0, 206]",206,a,1.6881638272898272,colour,0.5
77,19,1,1,1,21,21,74.28904824773781,75.35997792892158,"[54, 0, 200]",200,l,0.5551431551575661,colour,0.5
77,19,1,1,1,22,22,77.36990914761554,78.5039876899682,"[12, 0, 242]",242,a,0.6178902934771031,colour,0.5
77,19,1,1,1,23,23,80.51258810330182,83.21601030929014,"[42, 0, 212]",212,a,2.1865191266406327,colour,0.5
77,19,1,1,1,24,24,85.22525820543524,86.19993194343988,"[18, 0, 236]",236,a,0.45716216682922095,colour,0.5
77,19,1,1,1,25,25,88.20903293497395,89.11193376779556,"[11, 0, 243]",243,a,0.38642586406785995,colour,0.5
77,19,1,1,1,26,26,91.12110919621773,92.71192100713961,"[37, 0, 217]",217,a,1.0739567809505388,colour,0.5
77,19,1,1,1,27,27,94.721132275532,95.86393844347913,"[98, 0, 156]",156,l,0.6258857594802976,colour,0.5
77,19,1,1,1,28,28,97.87228679552209,98.71993143938016,"[85, 0, 169]",169,l,0.3309231275925413,colour,0.5
77,19,1,1,1,29,29,100.72901234473102,101.67996749980375,"[36, 0, 218]",218,a,0.43421827885322273,colour,0.5
77,19,1,1,1,30,30,103.68904210370965,104.55193843087181,"[87, 0, 167]",167,l,0.3466812967089936,colour,0.5
77,19,1,1,1,31,31,106.56102051783819,107.43195681564976,"[28, 0, 226]",226,a,0.3547212673583999,colour,0.5
77,19,1,1,1,32,32,109.44099400413688,110.255899418029,"[77, 0, 177]",177,l,0.2977396394126117,colour,0.5
77,19,1,1,1,33,33,112.26459317293484,113.04795743629802,"[70, 0, 184]",184,l,0.2664529134053737,colour,0.5
77,19,1,1,1,34,34,115.05698202177882,115.9919222202152,"[40, 0, 214]",214,a,0.41647945856675506,colour,0.5
77,19,1,1,1,35,35,118.00100470101461,118.89588013535831,"[73, 0, 181]",181,l,0.3778069398831576,colour,0.5
77,19,1,1,1,36,36,120.90491338539869,121.99990941549186,"[44, 0, 210]",210,a,0.578747522784397,colour,0.5
77,19,1,1,1,37,37,124.0089946531225,125.09585815877654,"[0, 0, 254]",254,a,0.5689064946491271,colour,0.5
77,19,1,1,1,38,38,127.10481972887646,127.95989663910586,"[88, 0, 166]",166,l,0.3390698304865509,colour,0.5
77,19,1,1,1,39,39,129.96901653520763,130.86396404344123,"[66, 0, 188]",188,l,0.37874665623530746,colour,0.5
77,19,1,1,1,40,40,132.87305912736338,134.1759758713888,"[61, 0, 193]",193,l,0.7847186994040385,colour,0.5
77,19,1,1,1,41,41,136.18513436452486,138.1358827505028,"[56, 0, 198]",198,l,1.4337381806690246,colour,0.5
77,19,1,1,1,42,42,140.1449798035901,141.00785525690299,"[1, 0, 253]",253,a,0.3460160909453407,colour,0.5
77,19,1,1,1,43,43,143.0166667717276,143.8478537760675,"[79, 0, 175]",175,l,0.3145296849543229,colour,0.5
77,19,1,1,1,44,44,145.85667789389845,146.63190018059686,"[86, 0, 168]",168,l,0.2564228393603116,colour,0.5
77,19,1,1,1,45,45,148.64145015645772,149.62387438840233,"[92, 0, 162]",162,l,0.46557983569800854,colour,0.5
77,19,1,1,1,46,46,151.6333822227316,152.46391938137822,"[71, 0, 183]",183,l,0.31424138974398375,colour,0.5
77,19,1,1,1,47,47,154.47298256366048,155.27184545167256,"[43, 0, 211]",211,a,0.2801516621839255,colour,0.5
77,19,1,1,1,48,48,157.28100197552703,158.0718579760287,"[84, 0, 170]",170,l,0.27541172655764967,colour,0.5
77,19,1,1,1,49,49,160.0806860323064,160.83988587919157,"[91, 0, 163]",163,l,0.24285681650508195,colour,0.5
77,19,1,1,1,50,50,162.8489774185,163.62388423457742,"[74, 0, 180]",180,l,0.2581707275239751,colour,0.5
77,19,1,1,2,1,51,173.176100326702,174.07986053125933,"[90, 0, 164]",164,l,0.3863569409586489,colour,0.5
77,19,1,1,2,2,52,176.0890249320073,177.0158755352022,"[58, 0, 196]",196,a,0.40903852751944214,colour,0.5
77,19,1,1,2,3,53,179.0247819669312,179.8798600586597,"[10, 0, 244]",244,a,0.3384451908059418,colour,0.5
77,19,1,1,2,4,54,181.88892245327588,182.69584500428755,"[9, 0, 245]",245,a,0.29062166216317564,colour,0.5
77,19,1,1,2,5,55,184.70491291279905,185.5839002089342,"[1, 0, 253]",253,a,0.3622011891566217,colour,0.5
77,19,1,1,2,6,56,187.5932603511028,188.43982625100762,"[69, 0, 185]",185,l,0.3293162363115698,colour,0.5
77,19,1,1,2,7,57,190.44837034435477,191.7998821613146,"[60, 0, 194]",194,l,0.8345157901057974,colour,0.5
77,19,1,1,2,8,58,193.80950657406356,194.63188994058874,"[3, 0, 251]",251,a,0.30516599817201495,colour,0.5
77,19,1,1,2,9,59,196.64094563981052,197.3838757117046,"[79, 0, 175]",175,l,0.2257832019822672,colour,0.5
77,19,1,1,2,10,60,199.392949133995,200.17585653613787,"[5, 0, 249]",249,a,0.26582039683125913,colour,0.5
77,19,1,1,2,11,61,202.1840902789263,203.36783751810435,"[47, 0, 207]",207,a,0.6673474949784577,colour,0.5
77,19,1,1,2,12,62,205.37682783894707,206.12786916759796,"[31, 0, 223]",223,a,0.23398386186454445,colour,0.5
77,19,1,1,2,13,63,208.13706822670065,208.9118155351607,"[87, 0, 167]",167,l,0.25802382291294634,colour,0.5
77,19,1,1,2,14,64,210.92199172615074,211.8321208130801,"[99, 0, 155]",155,l,0.3938746720086783,colour,0.5
77,19,1,1,2,15,65,213.84056053729728,216.08785836037714,"[57, 0, 197]",197,a,1.7288520493311808,colour,0.5
77,19,1,1,2,16,66,218.09783250838518,218.84785928984638,"[84, 0, 170]",170,l,0.23348604049533606,colour,0.5
77,19,1,1,2,17,67,220.85680865077302,221.7118532656459,"[30, 0, 224]",224,a,0.337051764014177,colour,0.5
77,19,1,1,2,18,68,223.7209066018695,227.86389236350078,"[52, 0, 202]",202,l,3.626601377502084,colour,0.5
77,19,1,1,2,19,69,229.8730071396567,231.7758603170514,"[50, 0, 204]",204,a,1.3849887202959508,colour,0.5
77,19,1,1,2,20,70,233.7850105393445,234.56784980604425,"[27, 0, 227]",227,a,0.26665535010397434,colour,0.5
77,19,1,1,2,21,71,236.5768972345395,237.3278330124449,"[15, 0, 239]",239,a,0.23462149826809764,colour,0.5
