id,age,condition,counterbalance,block,trialinblock,trial,tstart,tend,trialstim,trialintensity,response,RT,trialtype,colourfreq
15,20,1,2,Practice,1,NA,6.695394404232502e-06,1.5147592196590267,"[95, 0, 159]",159,l,0.6779737516480964,colour,0.5
15,20,1,2,Practice,2,NA,3.532387417857535,8.06675706768874,"[10, 0, 244]",244,a,4.0111765903711785,colour,0.5
15,20,1,2,Practice,3,NA,10.076104238716653,10.858836961910129,"[40, 0, 214]",214,a,0.25958928844192997,colour,0.5
15,20,1,2,Practice,4,NA,12.863780529558426,14.162769878748804,"[16, 0, 238]",238,a,0.7757769912132062,colour,0.5
15,20,1,2,Practice,5,NA,16.17690898629371,17.01880658842856,"[98, 0, 156]",156,l,0.3308818982623052,colour,0.5
15,20,1,2,Practice,6,NA,19.03978484927211,19.82678687403677,"[49, 0, 205]",205,a,0.26373492207494564,colour,0.5
15,20,1,2,Practice,7,NA,21.836910711339442,22.602801355009433,"[94, 0, 160]",160,l,0.24264126407797448,colour,0.5
15,20,1,2,Practice,8,NA,24.619349230837543,25.226803888217546,"[65, 0, 189]",189,a,0.08411193604115397,colour,0.5
15,20,1,2,Practice,9,NA,27.244587262131972,27.986788008303847,"[19, 0, 235]",235,a,0.21907818532781675,colour,0.5
15,20,1,2,Practice,10,NA,29.994784677954158,30.650769951200346,"[86, 0, 168]",168,l,0.13108646241016686,colour,0.5
15,20,1,2,1,1,1,6.30500260530971,7.1119837010337505,"[99, 0, 155]",155,l,0.2940572031366173,colour,0.5
15,20,1,2,1,2,2,9.122584487078711,10.48795478005195,"[38, 0, 216]",216,a,0.8429015181609429,colour,0.5
15,20,1,2,1,3,3,12.495507977961097,13.191935037291842,"[82, 0, 172]",172,l,0.17325566144427285,colour,0.5
15,20,1,2,1,4,4,15.187277796445414,15.975960760231828,"[71, 0, 183]",183,l,0.26523941761115566,colour,0.5
15,20,1,2,1,5,5,17.984388298500562,19.015988219238352,"[16, 0, 238]",238,a,0.508516350761056,colour,0.5
15,20,1,2,1,6,6,21.03145144044538,21.703969229507493,"[81, 0, 173]",173,l,0.14913056301884353,colour,0.5
15,20,1,2,1,7,7,23.719215834862553,24.423944795242278,"[8, 0, 246]",246,a,0.18142326068482362,colour,0.5
15,20,1,2,1,8,8,26.438205995364115,27.079974967084127,"[39, 0, 215]",215,a,0.11834551172796637,colour,0.5
15,20,1,2,1,9,9,29.094702088215854,29.663972490583546,"[84, 0, 170]",170,l,0.045937527203932405,colour,0.5
15,20,1,2,1,10,10,31.675274718145374,32.44800648430828,"[85, 0, 169]",169,l,0.24946111885947175,colour,0.5
15,20,1,2,1,11,11,34.45673767858534,35.015950803790474,"[20, 0, 234]",234,a,0.03593814556370489,colour,0.5
15,20,1,2,1,12,12,37.03511500530294,37.68003357152338,"[88, 0, 166]",166,l,0.12145375233376399,colour,0.5
15,20,1,2,1,13,13,39.69306872590096,40.5039894732472,"[12, 0, 242]",242,a,0.28771114628762007,colour,0.5
15,20,1,2,1,14,14,42.513280324143125,43.15205251399311,"[29, 0, 225]",225,a,0.11581780164851807,colour,0.5
15,20,1,2,1,15,15,45.16624833550304,46.32804738136474,"[63, 0, 191]",191,l,0.6385925955837592,colour,0.5
15,20,1,2,1,16,16,48.324942685401766,48.936058544553816,"[89, 0, 165]",165,l,0.08778495321166702,colour,0.5
15,20,1,2,1,17,17,50.94483266820316,51.744054190203315,"[1, 0, 253]",253,a,0.275913459219737,colour,0.5
15,20,1,2,1,18,18,53.74844715971267,54.57605638628593,"[65, 0, 189]",189,l,0.30415819730842486,colour,0.5
15,20,1,2,1,19,19,56.586529959749896,58.16004721439094,"[60, 0, 194]",194,a,1.0501595671230461,colour,0.5
15,20,1,2,1,20,20,60.17248253978323,60.96803537692176,"[17, 0, 237]",237,a,0.27231724219745956,colour,0.5
15,20,1,2,1,21,21,62.97777678878629,63.53602538263658,"[73, 0, 181]",181,l,0.034874364762799814,colour,0.5
15,20,1,2,1,22,22,65.55618916786625,66.24005172000034,"[44, 0, 210]",210,a,0.16059544941526838,colour,0.5
15,20,1,2,1,23,23,68.2595136698219,68.99205965048168,"[49, 0, 205]",205,a,0.20920168393058702,colour,0.5
15,20,1,2,1,24,24,71.00968666712288,71.74403567938134,"[33, 0, 221]",221,a,0.21101810631807894,colour,0.5
15,20,1,2,1,25,25,73.75993055690196,74.50407099959557,"[86, 0, 168]",168,l,0.22078748134663329,colour,0.5
15,20,1,2,1,26,26,76.52470306889154,77.36011007236084,"[40, 0, 214]",214,a,0.3237619320861995,colour,0.5
15,20,1,2,1,27,27,79.36076464608777,80.12009064783342,"[9, 0, 245]",245,a,0.23596516344696283,colour,0.5
15,20,1,2,1,28,28,82.12676280995947,83.36007935227826,"[67, 0, 187]",187,l,0.7100896119954996,colour,0.5
15,20,1,2,1,29,29,85.37828414249816,86.12011979249655,"[80, 0, 174]",174,l,0.21833026985405013,colour,0.5
15,20,1,2,1,30,30,88.12854378612246,88.88010273105465,"[93, 0, 161]",161,l,0.22827884525759146,colour,0.5
15,20,1,2,1,31,31,90.89570537407417,91.63215516626951,"[6, 0, 248]",248,a,0.21315590789890848,colour,0.5
15,20,1,2,1,32,32,93.64499024636461,94.50412968278397,"[90, 0, 164]",164,l,0.3357994719990529,colour,0.5
15,20,1,2,1,33,33,96.52279212322901,97.6802119842032,"[48, 0, 206]",206,a,0.634008216438815,colour,0.5
15,20,1,2,1,34,34,99.69498321620631,100.52810039318865,"[28, 0, 226]",226,a,0.30985676968703046,colour,0.5
15,20,1,2,1,35,35,102.53907887850073,103.12815702837543,"[7, 0, 247]",247,a,0.06583389028673992,colour,0.5
15,20,1,2,1,36,36,105.14932630499243,105.84011505058152,"[35, 0, 219]",219,a,0.16829830917413346,colour,0.5
15,20,1,2,1,37,37,107.85325851291418,108.89614648272982,"[69, 0, 185]",185,l,0.5204148626944516,colour,0.5
15,20,1,2,1,38,38,110.90833762296825,111.77614248124883,"[52, 0, 202]",202,a,0.3444763154257089,colour,0.5
15,20,1,2,1,39,39,113.78556881551049,114.72823808208341,"[83, 0, 171]",171,l,0.4194108285009861,colour,0.5
15,20,1,2,1,40,40,116.73805196181638,118.28014180067112,"[59, 0, 195]",195,a,1.018666378891794,colour,0.5
15,20,1,2,1,41,41,120.3007817469188,120.94431712245569,"[21, 0, 233]",233,a,0.1204419593559578,colour,0.5
15,20,1,2,1,42,42,122.95881226769416,123.55219437766937,"[15, 0, 239]",239,a,0.07015911812777631,colour,0.5
15,20,1,2,1,43,43,125.5684602590627,126.2321952598868,"[0, 0, 254]",254,a,0.14041197183541954,colour,0.5
15,20,1,2,1,44,44,128.2404187853972,129.00022173585603,"[43, 0, 211]",211,a,0.23634758888510987,colour,0.5
15,20,1,2,1,45,45,131.02199911227217,131.69628172978992,"[27, 0, 227]",227,a,0.15102299791760743,colour,0.5
15,20,1,2,1,46,46,133.70972372812685,134.28019418232725,"[32, 0, 222]",222,a,0.04719192991615273,colour,0.5
15,20,1,2,1,47,47,136.29018568704487,136.91225521915476,"[94, 0, 160]",160,l,0.09865709985024296,colour,0.5
15,20,1,2,1,48,48,138.93092671807972,139.6482213672134,"[61, 0, 193]",193,l,0.1939893432718236,colour,0.5
15,20,1,2,1,49,49,141.66660181319457,142.24022461881395,"[78, 0, 176]",176,l,0.05041084150434472,colour,0.5
15,20,1,2,1,50,50,144.26059241680196,145.4882064482954,"[50, 0, 204]",204,l,0.7042421654914506,colour,0.5
15,20,1,2,2,1,51,154.84636067642714,156.64824854265316,"[44, 0, 210]",210,l,1.2777381523919757,colour,0.5
15,20,1,2,2,2,52,158.66031404573005,159.4162750186224,"[78, 0, 176]",176,l,0.23297035080031492,colour,0.5
15,20,1,2,2,3,53,161.42583368549822,163.7362733487389,"[49, 0, 205]",205,l,1.787624303047778,colour,0.5
15,20,1,2,2,4,54,165.75547457186622,166.77630789697287,"[94, 0, 160]",160,l,0.4975110838422552,colour,0.5
15,20,1,2,2,5,55,168.7869815447193,169.5282693535264,"[39, 0, 215]",215,a,0.21805812156526372,colour,0.5
15,20,1,2,2,6,56,171.5372675761173,174.10430722901947,"[51, 0, 203]",203,l,2.043769399431767,colour,0.5
