id,age,condition,counterbalance,block,trialinblock,trial,tstart,tend,trialstim,trialintensity,response,RT,trialtype,colourfreq
16,20,1,2,Practice,1,NA,5.513837095350027e-06,1.0082928132032976,"[36, 0, 218]",218,a,0.39507834770483896,colour,0.5
16,20,1,2,Practice,2,NA,3.017541095847264,3.7523282183683477,"[21, 0, 233]",233,a,0.21783167513785884,colour,0.5
16,20,1,2,Practice,3,NA,5.7620471465052105,6.448433006473351,"[85, 0, 169]",169,l,0.17000975948758423,colour,0.5
16,20,1,2,Practice,4,NA,8.45720079750754,9.000404873280786,"[91, 0, 163]",163,l,0.025137196062132716,colour,0.5
16,20,1,2,Practice,5,NA,11.009784700407181,11.552408247778658,"[32, 0, 222]",222,a,0.026162376219872385,colour,0.5
16,20,1,2,Practice,6,NA,13.560821577731986,14.312356984824874,"[58, 0, 196]",196,a,0.2335311488714069,colour,0.5
16,20,1,2,Practice,7,NA,16.320857354672626,17.744407589256298,"[56, 0, 198]",198,a,0.905924855847843,colour,0.5
16,20,1,2,Practice,8,NA,19.75362003193004,20.4483077636105,"[11, 0, 243]",243,a,0.17788115789880976,colour,0.5
16,20,1,2,Practice,9,NA,22.45735518494621,23.168274081894197,"[54, 0, 200]",200,a,0.19387719733640552,colour,0.5
16,20,1,2,Practice,10,NA,25.17736246320419,26.16031288675731,"[25, 0, 229]",229,a,0.46643017552560195,colour,0.5
16,20,1,2,1,1,1,5.744311884744093,6.448007653176319,"[29, 0, 225]",225,a,0.18559659336460754,colour,0.5
16,20,1,2,1,2,2,8.458162568451371,9.191954049223568,"[33, 0, 221]",221,a,0.2140306711080484,colour,0.5
16,20,1,2,1,3,3,11.200559969700407,11.927940431633033,"[27, 0, 227]",227,a,0.21138363477075472,colour,0.5
16,20,1,2,1,4,4,13.936972886847798,14.535951802739874,"[81, 0, 173]",173,l,0.0826890675816685,colour,0.5
16,20,1,2,1,5,5,16.545092171698343,17.232038474001456,"[19, 0, 235]",235,a,0.17025315610226244,colour,0.5
16,20,1,2,1,6,6,19.24133519962197,19.959914787556045,"[78, 0, 176]",176,l,0.19965097401291132,colour,0.5
16,20,1,2,1,7,7,21.968762135365978,22.607926300435793,"[48, 0, 206]",206,a,0.12255096953595057,colour,0.5
16,20,1,2,1,8,8,24.616846509685274,25.311975742224604,"[34, 0, 220]",220,a,0.17877361201681197,colour,0.5
16,20,1,2,1,9,9,27.32103655434912,28.191926086205058,"[96, 0, 158]",158,l,0.3546670311479829,colour,0.5
16,20,1,2,1,10,10,30.200483957480174,30.927954216196667,"[73, 0, 181]",181,l,0.21040965453721583,colour,0.5
16,20,1,2,1,11,11,32.93707568058744,33.6639725001296,"[37, 0, 217]",217,a,0.21013159956783056,colour,0.5
16,20,1,2,1,12,12,35.67302504146937,36.34393749508308,"[39, 0, 215]",215,a,0.15459936839761212,colour,0.5
16,20,1,2,1,13,13,38.35302036261419,39.15190900902962,"[60, 0, 194]",194,a,0.2826291242381558,colour,0.5
16,20,1,2,1,14,14,41.161934742936864,41.895981041830964,"[44, 0, 210]",210,a,0.21775684447493404,colour,0.5
16,20,1,2,1,15,15,43.90509069082327,44.623906192253344,"[53, 0, 201]",201,a,0.2017639557016082,colour,0.5
16,20,1,2,1,16,16,46.63292604446178,47.35993668535957,"[86, 0, 168]",168,l,0.2092801053659059,colour,0.5
16,20,1,2,1,17,17,49.36913652496878,50.079907729814295,"[43, 0, 211]",211,a,0.19389846501871943,colour,0.5
16,20,1,2,1,18,18,52.088992172677536,52.71190626785392,"[82, 0, 172]",172,l,0.10640999482711777,colour,0.5
16,20,1,2,1,19,19,54.72029399784515,55.43991806433769,"[5, 0, 249]",249,a,0.20259575766976923,colour,0.5
16,20,1,2,1,20,20,57.4489977810299,58.00792889983859,"[32, 0, 222]",222,a,0.04273815650958568,colour,0.5
16,20,1,2,1,21,21,60.01657262945082,60.67191321530845,"[45, 0, 209]",209,a,0.13851707673165947,colour,0.5
16,20,1,2,1,22,22,62.68085114762653,63.37591894023353,"[26, 0, 228]",228,a,0.17759561981074512,colour,0.5
16,20,1,2,1,23,23,65.38480291567976,65.90391506167362,"[6, 0, 248]",248,a,0.0021149509702809155,colour,0.5
16,20,1,2,1,24,24,67.92387948953547,68.4878872781992,"[47, 0, 207]",207,a,0.0452083561103791,colour,0.5
16,20,1,2,1,25,25,70.49698944413103,71.1199823084171,"[17, 0, 237]",237,a,0.10672900977078825,colour,0.5
16,20,1,2,1,26,26,73.12739133206196,73.80790810479084,"[94, 0, 160]",160,l,0.16398116474738345,colour,0.5
16,20,1,2,1,27,27,75.81616980413673,76.57587593229255,"[57, 0, 197]",197,l,0.2422091430053115,colour,0.5
16,20,1,2,1,28,28,78.58477999386378,79.31186704087304,"[49, 0, 205]",205,a,0.21017492259852588,colour,0.5
16,20,1,2,1,29,29,81.32074904709589,82.05586227372987,"[84, 0, 170]",170,l,0.21849451726302505,colour,0.5
16,20,1,2,1,30,30,84.06486715981737,84.79185613919981,"[63, 0, 191]",191,l,0.20995239983312786,colour,0.5
16,20,1,2,1,31,31,86.80048450885806,87.36786912981188,"[70, 0, 184]",184,l,0.050626096373889595,colour,0.5
16,20,1,2,1,32,32,89.3765483055613,90.11185806116555,"[52, 0, 202]",202,a,0.21865402476396412,colour,0.5
16,20,1,2,1,33,33,92.12075188278686,92.70385606359923,"[85, 0, 169]",169,l,0.06650043756235391,colour,0.5
