"","id","age_group","condition","a","t0","sv","sz","z","v_1","v_2","v_3","v_4","v_5","loglik","convergence"
"1",34,"YA","Decreasing",2.64078268040827,0,3.73610395867466,2.53668315843787,0.501831032240551,-6.4953680623317,-5.54582366207646,3.11018026149362,6.2502064658322,6.73234122997107,71.6524696901712,0
"2",35,"YA","Decreasing",2.80127558048511,0,1.73384035299386,2.31903274740501,0.534371796853152,-4.28741578676181,0.339413584059871,3.63535920830998,3.86281123010458,3.66648785689517,337.317308476415,0
"3",36,"YA","Decreasing",3.31604249919977,0,1.93928344602462,3.01768947380429,0.488789101306802,-4.17690061713151,0.271025233621587,4.7957908800435,4.98905399256096,5.41490471629295,383.753055380014,0
"4",37,"YA","Decreasing",1.73376236406603,0,1.79979442785152,1.52861805313089,0.503849031239768,-4.53330960280873,-2.70331864111396,2.4287743341435,4.32159721252604,4.34613776599938,-123.662686333618,0
"5",38,"YA","Decreasing",2.22833059464093,0,0.93780527397942,0.965145565699793,0.525736804990123,-3.11255758713123,-3.12413110080292,-2.38963809711603,-0.312212901438096,2.69621626541082,104.066766972053,0
"6",39,"YA","Decreasing",2.65095227780747,0,1.46115603181425,1.55988992339257,0.414129279594361,-3.0436762122634,2.26372537490998,4.40112009900972,4.4356553803746,4.7836808173626,103.013169964362,0
"7",40,"YA","Decreasing",2.53505183443392,0,1.98287482477233,2.344815657626,0.50084319619869,-4.46660252771252,-1.69794139716299,3.35173698963205,4.53210622740596,4.20231620457569,263.241116654621,0
"8",41,"YA","Decreasing",4.19587373476152,0,2.8231993843606,3.87912045806032,0.483574757686941,-6.05594073322785,-7.00036025671484,-2.71080903622322,1.17829579187062,5.34092100278346,531.075626563195,0
"9",43,"YA","Decreasing",1.42065056765484,0,1.17069172857558,1.00807220957143,0.483416853608973,-4.37511104005591,-3.1766452565605,1.50448519300127,4.23324570405598,4.09095924003845,-367.935807455149,0
"10",44,"YA","Decreasing",2.29583565227786,0,1.27863866109492,1.69541357838553,0.498343787758715,-2.87859432918466,-0.315162599531838,2.88961228574488,3.20998040619527,2.99339449183517,379.527312145409,0
"11",45,"YA","Decreasing",2.71206198407149,0.00368694523328588,1.22340060807229,0.466187345781175,0.43912156354934,-2.36589092109613,-0.956638594007178,2.51599017875712,3.48586750218388,3.1892628400762,353.707231242131,0
"12",46,"YA","Decreasing",2.25426571482258,0,2.14702674419692,1.94858098849917,0.534239487582417,-4.44058093737662,-3.02900814667583,3.16954950946541,4.1260158626615,4.81558783089694,90.6706565117941,0
