"","id","age_group","condition","a","t0","sv","sz","z","v_1","v_2","v_3","v_4","v_5","loglik","convergence"
"1",11,"OA","Decreasing",2.42268502044115,0,1.31216114214949,2.01594602846229,0.466581624951933,-3.18673224773941,-2.81897752026303,0.838819008003616,3.02419550803733,2.79429814774368,409.534229995836,0
"2",14,"OA","Decreasing",2.46236353321845,0,2.11014348641994,2.12879473463944,0.513412298441785,-5.31008131048282,2.65135050805108,5.64715254169086,5.59163761678557,5.93091780257786,-134.523104141457,0
"3",15,"OA","Decreasing",3.08942933485237,0,6.20809240753822,2.76546393649268,0.50548421787059,-11.5652519943222,0.410665555533734,8.90640997077574,9.99112903549896,9.19883628207069,-39.0731024129442,0
"4",16,"OA","Decreasing",2.78967307274679,0,1.11508342318823,2.4593321249609,0.501521074832207,-2.79012036794354,-3.06676492046213,0.839636205524343,2.76361402042432,2.76232007967284,540.055727198342,0
"5",17,"OA","Decreasing",2.95002925151533,0,0.930004946038206,2.37240177911483,0.54047395076876,-3.05888771161107,-2.23489712659954,0.753427290972608,2.80977134618537,3.02148474637827,587.918485959987,0
"6",18,"OA","Decreasing",5.14852428835755,0,7.02199786367574,5.07652656328086,0.497581462196918,-6.88371760878372,-8.56073406070458,-0.140914331203243,6.77362330883884,10.1722664695892,706.270227445243,0
"7",20,"OA","Decreasing",2.97147625841394,0,2.63009061754302,2.76074938960553,0.49673453835816,-5.69766996751846,-5.81166861750976,2.30355784001041,5.76349808653952,5.99565811224634,89.667329559243,0
"8",23,"OA","Decreasing",1.59219523509951,0,1.85572858054759,0.979209568993636,0.489915935455762,-5.11263458314686,-3.43025168785486,3.83039598422226,4.80718969714689,4.52349749866681,-447.39206679133,0
"9",26,"OA","Decreasing",1.94458963562272,0.000111237511504677,0,1.87824458802792,0.499051384124075,-1.51023904473977,-1.73564842608017,0.580623009797852,1.79273351437267,2.09960287715471,300.634334649803,0
"10",27,"OA","Decreasing",2.8652314403336,0,2.14716031132981,2.16866913109748,0.509832307275622,-5.66854360472431,-0.743593590653346,5.30956466864294,6.45371984111995,5.8503541431407,42.1118382826389,0
"11",28,"OA","Decreasing",2.14017904309508,0,0.719223463767374,1.47283703282809,0.508562100607212,-2.60625527365969,-2.47208321333317,0.33939778691801,2.00072031292729,2.33156002787504,370.946395158218,0
"12",29,"OA","Decreasing",2.21528128682814,0,2.0327815071979,2.08069258062072,0.504655647704099,-3.96778459898455,-0.0121068530653007,2.61411374430866,3.20119593103958,3.372645019759,384.305318748619,0
"13",30,"OA","Decreasing",2.8609134166915,0,1.93509755980084,2.55353352771039,0.485507183476875,-4.15958262632092,-4.69144146365984,-3.10604236434787,2.1859541510087,4.36903623513186,240.758293380759,0
"14",31,"OA","Decreasing",3.36753478360616,0,0.517622567804505,2.12912954128764,0.544323183657182,-1.71396234622884,-0.312867632635729,1.02606170727463,1.38136872903887,1.59746276476026,1156.84666609712,0
"15",32,"OA","Decreasing",2.59114462903394,0,1.7431470226287,2.01278462762495,0.576575768987342,-3.76936268323394,0.132401810953849,3.53002829592768,4.34251286011331,4.75310856557114,247.479037304724,0
"16",34,"OA","Decreasing",3.31040119402491,0.00214442420889054,2.32854780598516,2.33246275081464,0.474825418017433,-5.07053684153087,-3.95043992102109,2.21762173703271,5.59202299590937,6.18917115057098,226.525150204056,0
"17",35,"OA","Decreasing",2.87810591094992,0,1.09673628330792,2.28246393047861,0.467034074993954,-3.56579510209326,-2.79230203467655,2.04121261729435,3.68420127946197,3.64102691364577,296.737398278566,0
"18",40,"OA","Decreasing",8.76983443669203,0,17.1034253909349,8.7428330217281,0.500275604977488,-24.3313137478949,-18.3218145169638,7.68936335777918,19.3184418728331,24.4406162837219,533.025624236166,0
"19",42,"OA","Decreasing",1.87717772897456,0,4.59876154602046,1.61028059879948,0.512707033364748,-8.33352995509498,-4.53420479380781,5.75029967173791,8.76942021090358,8.00056750656168,-383.189311828505,0
"20",45,"OA","Decreasing",3.79831136241272,0,2.959068502119,3.53869423156319,0.528567654473022,-6.32809438732661,-4.82367031938826,3.27442512520803,4.30862562656016,5.26428913112508,327.609925982628,0
"21",48,"OA","Decreasing",1.79629527312291,0,0.785940978262802,1.41961934870071,0.548352413322638,-2.96032188181473,-0.836996990348714,1.88751615053826,2.45975454987063,2.58870500619074,208.486522191689,0
"22",5,"OA","Decreasing",3.17077408115456,0,1.06394245397256,1.53206214748292,0.561513888756573,-3.47594771921303,-2.11587891856922,1.62607793687085,2.783070850713,2.56060359548343,446.579912588829,0
"23",50,"OA","Decreasing",2.11135578178045,0,2.9789038567033,1.81844500440382,0.472298700519782,-4.00513223841955,4.26691002992654,6.20505289636676,6.05569761722857,6.18255714156903,-138.519522336727,0
"24",52,"OA","Decreasing",3.03248405287025,0,5.71270079558124,2.92081500732636,0.507076475487002,-7.75753773075559,-6.88609505424947,1.55856178803263,4.49435594645448,5.73488707239802,427.897276577016,0
"25",53,"OA","Decreasing",2.25794326477426,0,0.775277681716188,1.35512542919299,0.513370582892214,-2.06024440021351,0.519662601568545,2.08263822496263,2.18223518294078,1.95851613591692,507.371704442461,0
"26",54,"OA","Decreasing",6.10247488822882,0,3.4658572402983,5.43003356118922,0.503121323691236,-10.7622332408225,-7.25336351575113,2.45562426810397,8.93436476253293,10.1531468897216,426.86675185229,0
"27",55,"OA","Decreasing",2.10914851634736,0,0.548204504824062,1.80231906212655,0.547868237408462,-1.72362223377745,-0.908348783018448,-0.95752639708417,-0.522788468240431,-0.737101599245883,818.472381517171,0
"28",57,"OA","Decreasing",2.60041998180169,0,2.51626541054925,2.21552437993556,0.510564081914728,-3.9839328640808,-1.42641148363633,2.89242249172725,3.95360835901588,4.22523839490687,462.41848119205,0
"29",59,"OA","Decreasing",1.70108188655094,0,1.35651822990042,1.19275649752005,0.475932694331826,-3.49276995320515,-2.40064567576613,2.96220753177074,4.10846431734405,3.77062325088745,-149.114393306422,0
"30",69,"OA","Decreasing",2.7100645336039,0,1.44900322479551,2.43712313424819,0.467148349618586,-3.21309136660703,-3.3074762608234,-2.87855971657419,-0.382931975479333,3.33054144692839,425.204892731033,0
